Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	1.000	2	23.04000	2	35.414001	2	203.000	2	0.06000	2		9	0.094260	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	3.000	2	23.03800	2	35.414001	2	203.000	2	0.06000	2		9	0.093890	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	5.000	2	23.04000	2	35.414001	2	203.000	2	0.06000	2		9	0.092620	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	7.000	2	23.03900	2	35.414001	2	202.900	2	0.06000	2		9	0.087920	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	9.000	2	23.04000	2	35.414001	2	202.700	2	0.06000	2		9	0.084280	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	11.000	2	23.04300	2	35.414001	2	202.700	2	0.06000	2		9	0.081460	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	13.000	2	23.04200	2	35.414001	2	202.700	2	0.06000	2		9	0.079870	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	15.000	2	23.00500	2	35.411999	2	202.800	2	0.06000	2		9	0.081340	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	17.000	2	22.83900	2	35.409000	2	203.200	2	0.06000	2		9	0.087140	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	19.000	2	22.59700	2	35.405998	2	203.900	2	0.06000	2		9	0.098320	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	21.000	2	22.34000	2	35.403000	2	204.700	2	0.06000	2		9	0.098650	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	23.000	2	22.09100	2	35.404999	2	205.800	2	0.07000	2		9	0.103610	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	25.000	2	21.93900	2	35.408001	2	206.600	2	0.08000	2		9	0.106570	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	27.000	2	21.52800	2	35.405998	2	207.700	2	0.09000	2		9	0.128610	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	29.000	2	21.15600	2	35.403000	2	209.400	2	0.11000	2		9	0.141140	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	31.000	2	20.89500	2	35.404999	2	210.000	2	0.13000	2		9	0.145910	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	33.000	2	20.82500	2	35.407001	2	209.800	2	0.15000	2		9	0.147980	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	35.000	2	20.73200	2	35.411999	2	209.300	2	0.22000	2		9	0.165080	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	37.000	2	20.64800	2	35.417999	2	208.400	2	0.29000	2		9	0.175930	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	39.000	2	20.52800	2	35.424000	2	206.700	2	0.41000	2		9	0.212340	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	41.000	2	20.30800	2	35.439999	2	204.400	2	0.40000	2		9	0.185640	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	43.000	2	20.17100	2	35.449001	2	204.900	2	0.35000	2		9	0.171710	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	45.000	2	20.10300	2	35.439999	2	197.700	2	0.39000	2		9	0.153340	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	47.000	2	19.88900	2	35.421001	2	192.300	2	0.32000	2		9	0.104640	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	49.000	2	19.81500	2	35.423000	2	186.500	2	0.21000	2		9	0.071270	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	51.000	2	19.67500	2	35.459999	2	190.800	2	0.17000	2		9	0.054940	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	53.000	2	19.58500	2	35.479000	2	197.600	2	0.14000	2		9	0.037780	2		9		9	0	2	1
GA10	CTD_JC068_001_2DB	C	2011-12-28T01:35:38	17.05380	-34.61240	55.000	2	19.44700	2	35.472000	2	199.900	2	0.12000	2		9	0.027370	2		9		9	0	2	1
