Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	3.000	2	21.27600	2	35.442001	2	216.600	2	0.09000	2		9	0.064880	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	5.000	2	21.27500	2	35.443001	2	216.400	2	0.10000	2		9	0.065620	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	7.000	2	21.27400	2	35.443001	2	216.900	2	0.10000	2		9	0.067320	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	9.000	2	21.26700	2	35.442001	2	216.500	2	0.10000	2		9	0.062690	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	11.000	2	21.27200	2	35.442001	2	216.800	2	0.10000	2		9	0.062240	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	13.000	2	21.27300	2	35.443001	2	217.000	2	0.10000	2		9	0.061470	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	15.000	2	21.19900	2	35.442001	2	216.900	2	0.10000	2		9	0.070090	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	17.000	2	21.20200	2	35.442001	2	217.300	2	0.09000	2		9	0.071640	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	19.000	2	20.91700	2	35.435001	2	217.700	2	0.07000	2		9	0.039880	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	21.000	2	20.90400	2	35.433998	2	217.700	2	0.08000	2		9	0.066960	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	23.000	2	20.72800	2	35.444000	2	217.800	2	0.08000	2		9	0.100820	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	25.000	2	20.68000	2	35.432999	2	218.700	2	0.09000	2		9	0.137040	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	27.000	2	20.69700	2	35.436001	2	219.700	2	0.09000	2		9	0.145330	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	29.000	2	20.64800	2	35.437000	2	219.600	2	0.10000	2		9	0.134140	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	31.000	2	20.64600	2	35.437000	2	219.900	2	0.11000	2		9	0.132040	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	33.000	2	20.56600	2	35.444000	2	219.900	2	0.14000	2		9	0.130670	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	35.000	2	20.49300	2	35.439999	2	218.900	2	0.18000	2		9	0.119450	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	37.000	2	20.45500	2	35.437000	2	218.400	2	0.21000	2		9	0.119120	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	39.000	2	20.33700	2	35.441002	2	217.500	2	0.26000	2		9	0.117720	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	41.000	2	20.30900	2	35.443001	2	217.000	2	0.24000	2		9	0.103080	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	43.000	2	20.25900	2	35.450001	2	217.000	2	0.20000	2		9	0.084770	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	45.000	2	20.20900	2	35.450001	2	216.800	2	0.25000	2		9	0.112900	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	47.000	2	20.20900	2	35.451000	2	216.700	2	0.27000	2		9	0.113930	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	49.000	2	20.18400	2	35.452000	2	216.000	2	0.27000	2		9	0.111910	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	51.000	2	20.18400	2	35.452999	2	215.500	2	0.25000	2		9	0.092460	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	53.000	2	20.18000	2	35.453999	2	215.000	2	0.21000	2		9	0.078240	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	55.000	2	20.16800	2	35.455002	2	214.500	2	0.22000	2		9	0.089470	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	57.000	2	20.15700	2	35.455002	2	214.500	2	0.22000	2		9	0.082610	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	59.000	2	20.15100	2	35.455002	2	214.100	2	0.22000	2		9	0.087260	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	61.000	2	20.14700	2	35.455002	2	214.200	2	0.24000	2		9	0.095900	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	63.000	2	20.13000	2	35.456001	2	214.800	2	0.29000	2		9	0.125510	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	65.000	2	20.12600	2	35.455002	2	216.700	2	0.30000	2		9	0.123730	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	67.000	2	20.10200	2	35.455002	2	216.900	2	0.29000	2		9	0.115000	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	69.000	2	20.03200	2	35.462002	2	215.500	2	0.23000	2		9	0.066100	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	71.000	2	19.96600	2	35.465000	2	212.900	2	0.17000	2		9	0.042710	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	73.000	2	19.68900	2	35.474998	2	204.600	2	0.10000	2		9	0.014630	2		9		9		9	1
GA10	CTD_JC068_004_2DB	C	2011-12-28T18:03:12	14.99620	-35.46840	75.000	2	19.66200	2	35.487000	2	202.700	2	0.08000	2		9	0.013620	2		9		9		9	1
