Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	5.000	2	20.31500	2	35.532001	2	219.300	2	0.05000	2		9	0.038950	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	7.000	2	20.32200	2	35.533001	2	219.600	2	0.05000	2		9	0.042020	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	9.000	2	20.31300	2	35.533001	2	219.900	2	0.05000	2		9	0.042910	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	11.000	2	20.30600	2	35.533001	2	219.600	2	0.06000	2		9	0.043440	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	13.000	2	20.29500	2	35.532001	2	219.700	2	0.07000	2		9	0.044890	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	15.000	2	20.29000	2	35.532001	2	219.700	2	0.07000	2		9	0.042870	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	17.000	2	20.28000	2	35.532001	2	219.600	2	0.07000	2		9	0.043560	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	19.000	2	20.28000	2	35.530998	2	219.800	2	0.08000	2		9	0.040480	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	21.000	2	20.27400	2	35.530998	2	219.800	2	0.08000	2		9	0.040850	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	23.000	2	20.26800	2	35.530998	2	219.400	2	0.09000	2		9	0.040240	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	25.000	2	20.26000	2	35.529999	2	219.700	2	0.09000	2		9	0.040360	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	27.000	2	20.24200	2	35.528000	2	219.600	2	0.09000	2		9	0.042220	2		9		9		9	1
GA10	CTD_JC068_006_2DB	C	2011-12-29T09:55:07	13.09690	-36.36050	29.000	2	20.21000	2	35.525002	2	219.400	2	0.10000	2		9	0.041490	2		9		9		9	1
